"cowcode","month","year","eventid","country","INI_IGRP1","TAR_IGRP1","VIC_IGRP1","INI_SGRP1","TAR_SGRP1","VIC_SGRP1","INI_PGRP1","TAR_PGRP1","VIC_PGRP1","KNOW_INI","AMBIG_INI","INI_TYPE","NGOV_I1","GOV_I1","TAR_TYPE","HUMAN_T1","GOV_T1","G_LVL_I","G_LVL_T","G_LVL_V","HUMAN_V1","GOV_V1","VIC_TYPE","DATE_TYP","day","JUL_PSD","JUL_PED","JUL_EED","JUL_LED","JUL_START_DATE","JUL_END_DATE","DAY_SPAN","N_INJURD","TAR_GPOL","GP_TYPE","aid","PUB_MON","PUB_DATE","PUB_YEAR","recap","NEWS_SOURCE","CODE_YEAR","CODE_MONTH","CODE_DAY","event","posthoc","EV_TYPE","linked","LINK_TYPE","FROM_EID","TO_EID","pinpoint","GP3","GP4","GP7","GP8","LOC_TYPE","PE_TYPE","SYM_TYPE","AD_VIOL","AD_TACT","EXP_TYPE","ATK_TYPE","DSA_TYPE","STAT_ACT","N_OF_INI_P","N_OF_INI_A","WEAP_GRD","N_KILLED_P","N_KILLED_A","E_LENGTH","N_INJURD_D","DAM_PROP","arrests","PER_ATK_I","PER_ATK_E","PUB_ORDER","retribution","POL_EXPRESS","INTANG_REP","MASS_EXPRESS","POL_VIOL","STAT_VIOL","ST_REPRESS","AMBIG_WGT","SC_ANIMOSITY","ANTI_GOV_SENTMNTS","CLASS_CONFLICT","POL_DESIRES","RETAIN_POWER","ECO_SCARCITY","PERS_SECURITY","QUASI_EVENT","coup","COUP_FAILED","region","ctry_bias","victim_effect","weapon","property_damaged","property_owner","state","city"
2,2,1946,"EID241883","United States",".",".",".",".",".",".",".",".",".",1,0,1,3,NA,1,36,NA,NA,NA,NA,36,NA,NA,1,1,397,397,NA,NA,397,397,1,0,0,NA,19146755,2,2,1946,0,"NYT",2011,3,9,1,0,1,0,NA,"","",1,"UNITED STATES","MINNESOTA",45.73260117,-93.91960144,2,8,NA,0,17,4,NA,NA,NA,230,230,1,0,0,1,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,5,1,13,1,NA,NA,"Minnesota","Foley"
2,2,1946,"EID250956","United States",".",".",".",".",".",".",".",".",".",1,0,1,1,NA,1,37,20,NA,3,3,37,20,NA,4,9,NA,NA,366,806,366,806,441,0,0,NA,19301419,3,18,1947,0,"NYT",2011,4,6,1,0,1,0,NA,"","",3,"UNITED STATES","NEW YORK",40.71429825,-74.0059967,2,11,NA,0,17,1,NA,NA,NA,1500,1500,1,0,0,4,0,0,0,0,0,0,0,3.599999905,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,0,5,1,13,1,NA,NA,"New York","New York"
2,2,1946,"EID264424","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,1,36,NA,NA,NA,NA,36,NA,NA,4,15,NA,NA,380,439,380,439,60,0,0,NA,19135007,3,16,1946,0,"NYT",2011,7,7,1,0,1,0,NA,"","",3,"UNITED STATES","PITTSBURGH",40.44060135,-79.99590302,27,8,NA,0,17,4,NA,NA,NA,NA,NA,1,0,0,4,0,0,0,0,0,0,0,NA,NA,1.299999952,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,5,1,1,1,NA,NA,"Pennsylvania","Pittsburgh"
2,2,1946,"EID295787","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,1,36,NA,NA,NA,NA,36,NA,NA,1,27,423,423,NA,NA,423,423,1,0,0,NA,24125474,2,28,1946,0,"WSJ",2011,12,21,1,0,1,1,1,"EID295787","EID295788",3,"UNITED STATES","PHILADELPHIA",39.95230103,-75.1638031,14,8,NA,0,17,4,NA,NA,NA,800,800,1,0,0,1,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,5,1,1,1,NA,NA,"Pennsylvania","Philadelphia"
2,2,1946,"EID300407","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,1,36,NA,NA,NA,NA,36,NA,NA,4,5,NA,NA,366,404,366,404,39,0,0,NA,19144425,2,9,1946,0,"NYT",2012,1,20,1,0,1,0,NA,"","",3,"UNITED STATES","NEW YORK",42.14970016,-74.93840027,2,8,NA,0,17,4,NA,NA,NA,35350,35350,1,0,0,4,0,0,0,0,0,0,0,NA,NA,3.599999905,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,5,1,13,1,NA,NA,"New York","Hamden"
2,2,1946,"EID328396","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,1,36,NA,NA,NA,NA,36,NA,NA,4,12,NA,NA,366,446,366,446,81,0,0,NA,19133316,3,23,1946,1,"NYT",2012,6,29,0,0,1,0,NA,"","",1,"UNITED STATES","UNITED STATES",38,-97,27,8,NA,0,17,4,NA,NA,NA,7000,7000,1,0,0,4,0,0,0,0,0,0,0,NA,NA,1.5,NA,NA,NA,0,0,0,1,0,0,0,0,1,0,0,5,1,1,1,NA,NA,"Kansas","Potwin"
2,2,1946,"EID57634","United States",".",".",".",".",".",".","Society of Families and Friends of Concentionous",".",".",1,0,1,2,NA,1,37,10,NA,3,3,37,10,NA,1,12,408,408,NA,NA,408,408,1,0,0,NA,19143491,2,13,1946,0,"NYT",2009,8,28,1,0,1,1,1,"EID57634","EID57635",3,"UNITED STATES","NEW YORK",40.71429825,-74.0059967,21,7,NA,0,17,4,NA,NA,NA,50,50,1,0,0,1,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,5,1,1,1,NA,NA,"New York","New York"
2,2,1946,"EID57637","United States",".",".",".",".",".",".","Society of Families and Friends of Concentionous",".",".",1,0,1,2,NA,2,37,2,NA,1,1,37,2,NA,1,12,408,408,NA,NA,408,408,1,0,0,NA,19143491,2,13,1946,0,"NYT",2009,8,28,1,0,1,1,1,"EID57637","EID57636",3,"UNITED STATES","NEW YORK",40.71429825,-74.0059967,9,7,NA,0,17,4,NA,NA,NA,50,50,1,0,0,1,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,5,1,1,1,NA,1,"New York","New York"
2,3,1946,"EID258926","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,26,NA,NA,422,450,422,450,29,0,0,NA,19131423,3,27,1946,0,"NYT",2011,6,11,1,0,1,0,NA,"","",1,"undefined","undefined",NA,NA,27,8,NA,0,17,4,NA,NA,NA,NA,100000,1,0,0,3,0,0,0,0,0,0,0,NA,NA,8.399999619,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,5,1,NA,1,NA,NA,NA,NA
2,3,1946,"EID334471","United States",".",".",".",".",".",".",".",".",".",1,0,1,3,NA,1,37,20,NA,3,3,37,20,NA,2,13,380,496,NA,NA,380,496,117,0,0,NA,19095271,5,12,1946,0,"NYT",2012,7,28,1,0,1,0,NA,"","",3,"UNITED STATES","NEW YORK",40.71429825,-74.0059967,14,8,NA,0,17,4,NA,NA,NA,37501,37501,1,0,0,4,0,0,0,0,0,0,0,NA,NA,3.799999952,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0,5,1,2,1,NA,NA,"New York","New York"
